,Date,AveragePrice_Mean,t-1,t-2,t-3,t-4,t-5
47.0,2015-01-02,0.9508333333333335,1.0443333333333331,1.0231818181818182,1.1085714285714285,1.0804545454545453,1.1204761904761906
43.0,2015-01-03,1.0443333333333331,1.0231818181818182,1.1085714285714285,1.0804545454545453,1.1204761904761906,1.1142857142857145
8.0,2015-01-11,1.0231818181818182,1.1085714285714285,1.0804545454545453,1.1204761904761906,1.1142857142857145,1.1103448275862067
49.0,2015-01-18,1.1085714285714285,1.0804545454545453,1.1204761904761906,1.1142857142857145,1.1103448275862067,0.9932258064516131
48.0,2015-01-25,1.0804545454545453,1.1204761904761906,1.1142857142857145,1.1103448275862067,0.9932258064516131,1.1319354838709679
21.0,2015-02-08,1.1204761904761906,1.1142857142857145,1.1103448275862067,0.9932258064516131,1.1319354838709679,1.069375
45.0,2015-02-15,1.1142857142857145,1.1103448275862067,0.9932258064516131,1.1319354838709679,1.069375,1.103125
44.0,2015-02-22,1.1103448275862067,0.9932258064516131,1.1319354838709679,1.069375,1.103125,1.01
34.0,2015-03-05,0.9932258064516131,1.1319354838709679,1.069375,1.103125,1.01,1.071
41.0,2015-03-15,1.1319354838709679,1.069375,1.103125,1.01,1.071,1.0733333333333337
40.0,2015-03-22,1.069375,1.103125,1.01,1.071,1.0733333333333337,1.0984375000000002
39.0,2015-03-29,1.103125,1.01,1.071,1.0733333333333337,1.0984375000000002,1.1158823529411763
51.0,2015-04-01,1.01,1.071,1.0733333333333337,1.0984375000000002,1.1158823529411763,1.0426086956521738
12.0,2015-04-10,1.071,1.0733333333333337,1.0984375000000002,1.1158823529411763,1.0426086956521738,1.0848275862068966
36.0,2015-04-19,1.0733333333333337,1.0984375000000002,1.1158823529411763,1.0426086956521738,1.0848275862068966,1.0414285714285714
35.0,2015-04-26,1.0984375000000002,1.1158823529411763,1.0426086956521738,1.0848275862068966,1.0414285714285714,1.0699999999999996
38.0,2015-05-04,1.1158823529411763,1.0426086956521738,1.0848275862068966,1.0414285714285714,1.0699999999999996,1.0165000000000002
25.0,2015-05-07,1.0426086956521738,1.0848275862068966,1.0414285714285714,1.0699999999999996,1.0165000000000002,0.972727272727273
32.0,2015-05-17,1.0848275862068966,1.0414285714285714,1.0699999999999996,1.0165000000000002,0.972727272727273,1.0233333333333334
31.0,2015-05-24,1.0414285714285714,1.0699999999999996,1.0165000000000002,0.972727272727273,1.0233333333333334,1.0024
